type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,iata_code
small_airport,Herendeen Bay Airport,55.801399231000005,-160.899002075,,US,US-AK,HED
small_airport,Taylor Airport,65.6792984009,-164.798995972,,US,US-AK,TWE
seaplane_base,Tikchik Lodge Seaplane Base,59.9631996155,-158.477005005,,US,US-AK,KTH
seaplane_base,Naukati Bay Seaplane Base,55.84960175,-133.2279968,,US,US-AK,WNC
small_airport,Lonely Air Station,70.91069794,-153.2420044,,US,US-AK,LNI
small_airport,Candle 2 Airport,65.907699585,-161.92599487299998,,US,US-AK,CDL
seaplane_base,Amook Bay Seaplane Base,57.4715003967,-153.815002441,,US,US-AK,AOS
small_airport,Bartletts Airport,58.2162017822,-157.352005005,,US,US-AK,BSZ
small_airport,Boswell Bay Airport,60.4230995178,-146.145996094,,US,US-AK,BSW
small_airport,Zakuoma Airport,10.8902777778,19.8172222222,AF,TD,TD-SA,AKM
small_airport,Sharpe Field,32.4919013977,-85.77559661869999,,US,US-AL,TGE
seaplane_base,Alitak Seaplane Base,56.899501800500005,-154.248001099,,US,US-AK,ALZ
small_airport,Alto Molocue Airport,-15.6102777778,37.681388888899995,AF,MZ,MZ-Q,AME
small_airport,Ama Airport,-4.10111111111,141.67,OC,PG,PG-ESW,AMF
small_airport,Amanab Airport,-3.5860000000000003,141.21433333299998,OC,PG,PG-SAN,AMU
small_airport,Ambatomainty Airport,-17.686666666700003,45.623888888900005,AF,MG,MG-M,AMY
medium_airport,Nauru International Airport,-0.547458,166.919006,OC,NR,NR-14,INU
small_airport,Angus Downs Airport,-25.0325,132.2748,OC,AU,AU-NT,ANZ
small_airport,Andulo Airport,-11.4722995758,16.710899353,AF,AO,AO-BIE,ANL
small_airport,Cangamba Airport,-13.7105998993,19.861099243199998,AF,AO,AO-MOX,CNZ
small_airport,Dirico Airport,-17.981924057006836,20.7680606842041,AF,AO,AO-CCU,DRC
small_airport,Lumbala Airport,-12.6398773193,22.586820602399996,AF,AO,AO-MOX,GGC
