type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,iata_code
small_airport,Lekoni Airport,-1.5724,14.2878,AF,GA,GA-2,LEO
large_airport,Palma De Mallorca Airport,39.55170059,2.738810062,EU,ES,ES-PM,PMI
medium_airport,Pamplona Airport,42.77000046,-1.646329999,EU,ES,ES-NA,PNA
medium_airport,Reus Air Base,41.1473999,1.167170048,EU,ES,ES-CT,REU
medium_airport,Rota Naval Station Airport,36.64519882,-6.349460125,EU,ES,ES-AN,ROZ
medium_airport,Salamanca Airport,40.95209885,-5.501989841,EU,ES,ES-CL,SLM
medium_airport,San Sebastian Airport,43.35649872,-1.790609956,EU,ES,ES-PV,EAS
large_airport,Santiago de Compostela Airport,42.89630127,-8.415140152,EU,ES,ES-GA,SCQ
small_airport,Pirineus - la Seu d'Urgel Airport,42.33860016,1.409170032,EU,ES,ES-CT,LEU
medium_airport,Torrejón Airport,40.49670029,-3.445869923,EU,ES,ES-M,TOJ
medium_airport,Valencia Airport,39.48929977,-0.4816249907,EU,ES,ES-V,VLC
medium_airport,Valladolid Airport,41.70610046,-4.851940155,EU,ES,ES-CL,VLL
medium_airport,Vitoria/Foronda Airport,42.88280106,-2.7244699,EU,ES,ES-PV,VIT
medium_airport,Vigo Airport,42.23180008,-8.62677002,EU,ES,ES-GA,VGO
medium_airport,Santander Airport,43.42710114,-3.820009947,EU,ES,ES-S,SDR
medium_airport,Zaragoza Air Base,41.66619873,-1.04155004,EU,ES,ES-AR,ZAZ
medium_airport,Sevilla Airport,37.41799927,-5.893109798,EU,ES,ES-AN,SVQ
small_airport,St Aubin Airport,49.88249969,1.085279942,EU,FR,FR-Q,DPE
medium_airport,Calais-Dunkerque Airport,50.96210098,1.954759955,EU,FR,FR-O,CQF
small_airport,Compiègne Margny Airport,49.43439865,2.806109905,EU,FR,FR-S,XCP
small_airport,Laon - Chambry Airport,49.59579849,3.631669998,EU,FR,FR-S,XLN
medium_airport,Péronne-Saint-Quentin Airport,49.86849976,3.029580116,EU,FR,FR-S,XSJ
small_airport,Dunkerque les Moeres Airport,51.04059982,2.550280094,EU,FR,FR-O,XDK
small_airport,Albert-Bray Airport,49.9715004,2.697659969,EU,FR,FR-S,BYF
medium_airport,Le Touquet-Côte d'Opale Airport,50.51739883,1.620589972,EU,FR,FR-O,LTQ
medium_airport,Valenciennes-Denain Airport,50.32580185,3.46126008,EU,FR,FR-O,XVS
medium_airport,Amiens-Glisy Airport,49.8730011,2.387069941,EU,FR,FR-S,QAM
medium_airport,Agen-La Garenne Airport,44.17470169,0.5905560255,EU,FR,FR-B,AGF
large_airport,Bordeaux-Mérignac Airport,44.82830048,-0.7155560255,EU,FR,FR-B,BOD
medium_airport,Bergerac-Roumanière Airport,44.82529831,0.5186110139,EU,FR,FR-B,EGC
medium_airport,Cognac-Châteaubernard (BA 709) Air Base,45.65829849,-0.3174999952,EU,FR,FR-T,CNG
medium_airport,La Rochelle-Île de Ré Airport,46.17919922,-1.195279956,EU,FR,FR-T,LRH
medium_airport,Poitiers-Biard Airport,46.58769989,0.3066659868,EU,FR,FR-T,PIS
medium_airport,Montluçon-Guéret Airport,46.22259903,2.363960028,EU,FR,FR-L,MCU
medium_airport,Limoges Airport,45.8628006,1.179440022,EU,FR,FR-L,LIG
medium_airport,Mont-de-Marsan (BA 118) Air Base,43.9117012,-0.5074999928,EU,FR,FR-B,XMJ
medium_airport,Niort-Souché Airport,46.31129837,-0.4015029967,EU,FR,FR-T,NIT
large_airport,Toulouse-Blagnac Airport,43.6291008,1.363819957,EU,FR,FR-N,TLS
